blades_from_code,catalog_file,coating,code_type,extra_length_mm,form,image_file,image_height_px,image_width_px,material,overall_length_mm,page,product_code,profile_code,shank_diameter_mm,system_code,working_diameter_mm_detected,working_diameter_mm_from_code,x,y,yt_reference
1,CABINET (3).pdf,without coating,numeric,17.5,,,,,tungsten carbide,4.0,10,500 204 001 175 021,,2.0,,2.1,2.1,452.5066833496094,455.3137969970703,
1,CABINET (3).pdf,without coating,numeric,17.5,,,,,tungsten carbide,4.0,10,500 204 001 175 023,,2.0,,2.3,2.3,108.09915924072266,606.2559509277344,
1,CABINET (3).pdf,without coating,numeric,17.5,,,,,tungsten carbide,4.0,10,500 204 001 175 027,,2.0,,2.7,2.7,176.9772491455078,606.2559509277344,
1,CABINET (3).pdf,without coating,numeric,17.5,,,,,tungsten carbide,4.0,10,500 204 001 175 029,,2.0,,2.9,2.9,245.86257934570312,606.2559509277344,
0,CABINET (3).pdf,without coating,numeric,0.1,,,,,tungsten carbide,4.0,22,500 204 010 001 010,,2.0,,1.0,1.0,113.71599960327148,523.0489196777344,
0,CABINET (3).pdf,without coating,numeric,0.1,,,,,tungsten carbide,4.0,22,500 204 010 001 014,,2.0,,,1.4,194.00798797607422,523.0489196777344,
0,CABINET (3).pdf,without coating,numeric,0.1,,,,,tungsten carbide,4.0,22,500 204 010 001 016,,2.0,,,1.6,274.2959747314453,523.0489196777344,
0,CABINET (3).pdf,without coating,numeric,0.1,,,,,tungsten carbide,4.0,22,500 204 010 001 018,,2.0,,,1.8,354.5879821777344,522.4009094238281,
4,CABINET (3).pdf,without coating,numeric,0.6,cutter cylindric blunt-edged,,,,tungsten carbide,4.0,23,500 204 194 006 010,,2.0,,1.0,1.0,113.80200958251953,753.9693298339844,
4,CABINET (3).pdf,without coating,numeric,0.6,cutter cylindric blunt-edged,,,,tungsten carbide,4.0,23,500 204 194 006 012,,2.0,,,1.2,194.0899887084961,753.9693298339844,
4,CABINET (3).pdf,without coating,numeric,0.6,cutter cylindric blunt-edged,,,,tungsten carbide,4.0,23,500 204 194 006 016,,2.0,,1.6,1.6,274.3777618408203,603.2444152832031,
8,CABINET (3).pdf,without coating,numeric,0.6,cylindric radial cutter,,,,tungsten carbide,4.0,23,500 204 218 006 018,,2.0,,,1.8,354.6697692871094,603.2444152832031,
4,CABINET (3).pdf,without coating,numeric,19.0,cylindric radial cutter,,,,tungsten carbide,4.0,73,500 204 274 190 040,,2.0,,,4.0,274.3862609863281,489.14622497558594,
4,CABINET (3).pdf,without coating,numeric,19.0,cylindric radial cutter,,,,tungsten carbide,4.0,73,500 204 274 190 060,,2.0,,,6.0,354.67384338378906,489.14622497558594,
7,CABINET (3).pdf,without coating,numeric,4.2,cylindric radial cutter,,,,tungsten carbide,4.0,19,500 204 277 042 023,,2.0,,,2.3,434.6774444580078,349.40931701660156,
7,CABINET (3).pdf,without coating,numeric,7.2,cylindric radial cutter,,,,tungsten carbide,4.0,17,500 204 277 072 014,,2.0,,1.4,1.4,113.18769836425781,753.9693298339844,
7,CABINET (3).pdf,without coating,numeric,7.2,cylindric radial cutter,,,,tungsten carbide,4.0,17,500 204 277 072 018,,2.0,,,1.8,193.47967529296875,753.9693298339844,
7,CABINET (3).pdf,without coating,numeric,7.2,cylindric radial cutter,,,,tungsten carbide,4.0,17,500 204 277 072 023,,2.0,,,2.3,273.7676544189453,753.9693298339844,
7,CABINET (3).pdf,without coating,numeric,7.2,cylindric radial cutter,,,,tungsten carbide,4.0,17,500 204 297 072 014,,2.0,,,1.4,354.0596618652344,753.9693298339844,
7,CABINET (3).pdf,without coating,numeric,7.2,cylindric radial cutter,,,,tungsten carbide,4.0,17,500 204 297 072 016,,2.0,,,1.6,434.34767150878906,753.9693298339844,
8,CABINET (3).pdf,without coating,numeric,7.2,cylindric radial cutter,,,,tungsten carbide,4.0,17,500 204 298 072 021,,2.0,,,2.1,514.6358032226562,753.9693298339844,
1,CABINET (3).pdf,without coating,numeric,17.5,,,,,tungsten carbide,5.0,10,500 205 001 175 010,,2.0,,1.0,1.0,314.74481201171875,606.2559509277344,
1,CABINET (3).pdf,without coating,numeric,17.5,,,,,tungsten carbide,5.0,10,500 205 001 175 014,,2.0,,1.4,1.4,383.63055419921875,606.2559509277344,
1,CABINET (3).pdf,without coating,numeric,17.5,,,,,tungsten carbide,5.0,10,500 205 001 175 018,,2.0,,1.8,1.8,452.5163269042969,606.2559509277344,
1,CABINET (3).pdf,without coating,numeric,17.5,,,,,tungsten carbide,5.0,10,500 205 001 175 023,,2.0,,2.3,2.3,521.3982238769531,606.2559509277344,
